"","age","sex","age_group","level_education","ethnicity","religion","health_risk_associated_with_drinking_untreated_water","main_source_of_drinking_water_dry_season","main_source_of_drinking_water_wet_season","treat_drinking_water","chlorination_process_done_correctly","knowledge_on_cholera_season","often_treat_water","difficulties_accessing_water_treatment_products","drinking_water_treated","method_boiling_binary","method_chlorine_binary","potential_causes_binary","cholera_prevention_binary","frequency_treatment_binary","access_products_binary","community_practice_binary","traditional_beliefs_binary","source_drinking_binary","water_treatment_practice_score","water_treatment_category"
"11",40,"male","31-50","secondary","ngoni","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"12",42,"female","31-50","primary","other_enthni","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Always","yes",1,0,0,1,1,1,0,0,1,1,0.666666666666667,"Practices"
"13",18,"female","18-30","primary","lomwe","Christianity","yes","borehole_1","rainwater","yes",NA,"in_rainy_season","Sometimes","yes",1,1,0,1,1,1,0,0,1,1,0.75,"Practices"
"14",28,"female","18-30","secondary","lomwe","Christianity","yes","piped_into_yard_plot","rainwater","yes",NA,"in_rainy_season","Sometimes","no",1,0,0,1,1,1,1,0,NA,0,0.583333333333333,"Practices"
"15",24,"female","18-30","secondary","lomwe","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Always","no",1,0,0,1,1,1,1,0,NA,1,0.666666666666667,"Practices"
"16",29,"male","18-30","secondary","ngoni","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"17",43,"female","31-50","none","other_enthni","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season in_summer","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"18",44,"female","31-50","primary","tumbuka","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"19",70,"female",">50","primary","lomwe","Christianity","yes","borehole_1","rainwater","yes","no","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,1,0,1,0.75,"Practices"
"20",27,"female","18-30","secondary","ngoni","Christianity","yes","piped_into_yard_plot","piped_into_yard_plot","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,1,0,0.416666666666667,"Does Not Practice"
"21",53,"female",">50","primary","chewa","Christianity","yes","borehole_1","rainwater","yes","no","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,0,1,1,0.75,"Practices"
"22",22,"female","18-30","tertiary","lomwe","Christianity","yes","piped_into_yard_plot","piped_into_yard_plot","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,NA,0,0.75,"Practices"
"23",38,"female","31-50","primary","lomwe","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Sometimes","no",1,0,0,1,1,1,1,1,NA,1,0.75,"Practices"
"24",23,"female","18-30","secondary","tumbuka","Christianity","yes","community_standpipe","community_standpipe","yes",NA,"in_rainy_season","Always","no",1,0,0,1,1,1,1,0,0,0,0.583333333333333,"Practices"
"25",38,"female","31-50","secondary","yao","Christianity","yes","piped_into_dwelling","borehole_1","yes",NA,"in_rainy_season in_summer in_winter","Sometimes","no",1,1,0,1,1,1,1,0,0,1,0.75,"Practices"
"26",40,"female","31-50","secondary","lomwe","Christianity","yes","piped_into_dwelling","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,0,1,0.416666666666667,"Does Not Practice"
"27",38,"female","31-50","secondary","chewa","Christianity","yes","piped_into_yard_plot","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"28",36,"male","31-50","primary","tonga","Christianity","yes","borehole_1","rainwater","no",NA,"in_rainy_season in_summer",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"29",38,"female","31-50","primary","chewa","muslim","no","piped_into_dwelling","piped_into_dwelling","yes",NA,"in_rainy_season","Always","no",1,0,0,1,1,1,1,1,NA,1,0.666666666666667,"Practices"
"30",37,"female","31-50","primary","chewa","Christianity","no","piped_into_dwelling","piped_into_dwelling","yes",NA,"in_summer","Always","no",1,0,0,1,1,1,1,0,NA,1,0.5,"Does Not Practice"
"31",27,"male","18-30","secondary","yao","muslim","yes","piped_into_dwelling","piped_into_dwelling","no",NA,"in_winter in_summer in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,1,NA,1,0.5,"Does Not Practice"
"32",21,"female","18-30","secondary","lomwe","Christianity","yes","piped_into_dwelling","piped_into_dwelling","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"33",20,"female","18-30","secondary","tumbuka","Christianity","yes","piped_into_dwelling","piped_into_dwelling","yes",NA,"in_rainy_season","Always","yes",1,1,0,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"34",50,"male","31-50","primary","lomwe","Christianity","yes","community_standpipe","community_standpipe","yes",NA,"in_rainy_season","Sometimes","yes",1,1,0,1,1,1,0,0,NA,0,0.583333333333333,"Practices"
"35",32,"female","31-50","tertiary","ngoni","Christianity","yes","piped_into_yard_plot","piped_into_yard_plot","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,0,0.333333333333333,"Does Not Practice"
"36",52,"female",">50","tertiary","lomwe","Christianity","yes","community_standpipe","rainwater","yes",NA,"in_rainy_season","Always","yes",1,1,0,1,1,1,0,0,1,0,0.666666666666667,"Practices"
"37",26,"male","18-30","secondary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"38",38,"male","31-50","secondary","lomwe","Christianity","yes","piped_into_yard_plot","borehole_1","yes","no","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"39",23,"female","18-30","primary","ngoni","Christianity","yes","borehole_1","borehole_1","yes",NA,"do_not_know in_winter","Always","no",1,0,0,1,1,1,1,0,NA,1,0.583333333333333,"Practices"
"40",28,"male","18-30","primary","ngoni","Christianity","yes","community_standpipe","community_standpipe","yes","no","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,1,0,0.666666666666667,"Practices"
"41",21,"female","18-30","primary","ngoni","muslim","yes","piped_into_yard_plot","piped_into_yard_plot","yes","no","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,1,NA,0,0.666666666666667,"Practices"
"42",71,"female",">50","primary","ngoni","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,1,1,1,1,1,0,0,NA,1,0.75,"Practices"
"43",54,"male",">50","secondary","tumbuka","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season in_winter",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"44",39,"male","31-50","primary","tonga","Christianity","yes","piped_into_yard_plot","piped_into_yard_plot","no",NA,"in_rainy_season in_summer",NA,NA,0,NA,NA,1,1,0,NA,0,NA,0,0.333333333333333,"Does Not Practice"
"45",34,"female","31-50","primary","lomwe","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"46",40,"male","31-50","secondary","chewa","Christianity","yes","piped_into_dwelling","piped_into_dwelling","yes","yes","in_rainy_season in_summer","Sometimes","no",1,0,1,1,1,1,1,0,1,1,0.833333333333333,"Practices"
"47",64,"female",">50","primary","yao","Christianity","yes","protected_well_1","protected_well_1","yes","yes","in_rainy_season in_summer","Sometimes","no",1,0,1,1,1,1,1,1,0,1,0.833333333333333,"Practices"
"48",58,"female",">50","secondary","yao","Christianity","yes","piped_into_dwelling","piped_into_dwelling","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"49",37,"female","31-50","primary","lomwe","muslim","no","unprotected_well_1","unprotected_well_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,0,0.25,"Does Not Practice"
"50",34,"female","31-50","primary","ngoni","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,1,NA,1,0.75,"Practices"
"51",41,"female","31-50","primary","yao","muslim","no","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,1,0.583333333333333,"Practices"
"52",35,"female","31-50","primary","lomwe","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"53",34,"male","31-50","secondary","lomwe","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"54",25,"female","18-30","primary","lomwe","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,1,1,0.5,"Does Not Practice"
"55",44,"female","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,0,1,0.75,"Practices"
"56",40,"female","31-50","primary","yao","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"57",65,"female",">50","primary","yao","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"58",27,"male","18-30","secondary","yao","muslim","yes","unprotected_well_1","unprotected_well_1","no",NA,"in_summer",NA,NA,0,NA,NA,1,1,0,NA,0,1,0,0.333333333333333,"Does Not Practice"
"59",20,"female","18-30","secondary","yao","muslim","yes","borehole_1","piped_into_dwelling","yes","no","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,0,1,0.666666666666667,"Practices"
"60",42,"female","31-50","primary","lomwe","Christianity","yes","borehole_1","lake","yes","yes","in_rainy_season","Always","yes",1,1,1,1,1,1,0,0,1,1,0.833333333333333,"Practices"
"61",21,"male","18-30","primary","yao","muslim","yes","borehole_1","dam","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"62",36,"female","31-50","primary","chewa","Christianity","yes","piped_into_dwelling","piped_into_dwelling","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"63",24,"male","18-30","primary","yao","Christianity","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,1,1,0.75,"Practices"
"64",38,"female","31-50","secondary","yao","muslim","yes","piped_into_yard_plot","piped_into_yard_plot","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,NA,0,0.75,"Practices"
"65",24,"female","18-30","primary","yao","muslim","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Always","yes",1,0,0,1,1,1,0,0,NA,1,0.583333333333333,"Practices"
"66",33,"male","31-50","secondary","ngoni","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Never","no",1,1,0,1,1,0,1,1,1,1,0.833333333333333,"Practices"
"67",23,"female","18-30","primary","lomwe","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"68",69,"female",">50","primary","tonga","Christianity","yes","piped_into_yard_plot","piped_into_yard_plot","yes",NA,"in_rainy_season","Always","yes",1,1,0,1,1,1,0,0,1,0,0.666666666666667,"Practices"
"69",38,"female","31-50","secondary","tumbuka","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,0,1,0.75,"Practices"
"70",48,"female","31-50","secondary","tonga","Christianity","yes","piped_into_yard_plot","piped_into_yard_plot","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,0,0.583333333333333,"Practices"
"71",34,"female","31-50","primary","tumbuka","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,1,0,1,0.5,"Does Not Practice"
"72",60,"female",">50","primary","tonga","Christianity","yes","piped_into_yard_plot","piped_into_yard_plot","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,1,1,0,0.5,"Does Not Practice"
"73",36,"female","31-50","secondary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,NA,1,0.833333333333333,"Practices"
"74",24,"female","18-30","primary","lomwe","Christianity","no","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,1,0,1,0.416666666666667,"Does Not Practice"
"75",21,"female","18-30","secondary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,0,1,0.833333333333333,"Practices"
"76",33,"male","31-50","tertiary","ngonde","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,1,0,1,0.75,"Practices"
"77",56,"female",">50","secondary","tonga","Christianity","yes","piped_into_dwelling","piped_into_dwelling","no",NA,"in_summer in_rainy_season in_winter",NA,NA,0,NA,NA,1,1,0,NA,1,1,1,0.583333333333333,"Practices"
"78",24,"female","18-30","primary","tonga","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"79",31,"male","31-50","secondary","tonga","Christianity","no","piped_into_dwelling","piped_into_dwelling","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.333333333333333,"Does Not Practice"
"80",23,"female","18-30","primary","sena","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,0,1,0.75,"Practices"
"81",32,"female","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"82",35,"female","31-50","secondary","yao","Christianity","no","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.333333333333333,"Does Not Practice"
"83",30,"male","18-30","primary","ngoni","Christianity","no","unprotected_well_1","unprotected_well_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,0,0.25,"Does Not Practice"
"84",31,"female","31-50","secondary","ngoni","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"85",27,"female","18-30","secondary","lomwe","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,1,1,0.75,"Practices"
"86",39,"female","31-50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"87",25,"female","18-30","secondary","lomwe","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Sometimes","no",1,0,0,1,1,1,1,1,NA,1,0.75,"Practices"
"88",23,"female","18-30","secondary","yao","muslim","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Always","no",1,0,0,1,1,1,1,0,NA,1,0.666666666666667,"Practices"
"89",24,"male","18-30","tertiary","yao","Christianity","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Sometimes","no",1,1,1,1,1,1,1,0,0,1,0.833333333333333,"Practices"
"90",18,"female","18-30","secondary","yao","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,1,0,1,0.833333333333333,"Practices"
"91",28,"female","18-30","secondary","other_enthni","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Sometimes","no",1,0,0,1,1,1,1,0,0,1,0.666666666666667,"Practices"
"92",36,"female","31-50","secondary","yao","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"93",46,"female","31-50","primary","tonga","Christianity","yes","piped_into_yard_plot","river_stream","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,0,0.583333333333333,"Practices"
"94",28,"female","18-30","secondary","ngoni","Christianity","yes","piped_into_yard_plot","piped_into_yard_plot","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,1,NA,0,0.666666666666667,"Practices"
"95",33,"female","31-50","primary","chewa","Christianity","yes","river_stream","river_stream","yes","yes","in_summer in_rainy_season","Sometimes","yes",1,1,1,1,1,1,0,1,NA,0,0.75,"Practices"
"96",54,"female",">50","primary","tonga","Christianity","yes","borehole_1","borehole_1","yes",NA,"do_not_know","Sometimes","yes",1,0,0,1,1,1,0,0,NA,1,0.5,"Does Not Practice"
"97",43,"male","31-50","primary","ngonde","Christianity","yes","protected_well_1","piped_into_yard_plot","yes",NA,"in_rainy_season","Never","no",1,0,0,1,1,0,1,0,NA,1,0.583333333333333,"Practices"
"98",65,"female",">50","primary","tonga","Christianity","yes","piped_into_yard_plot","piped_into_yard_plot","yes",NA,"in_rainy_season","Always","no",1,0,0,1,1,1,1,0,NA,0,0.583333333333333,"Practices"
"99",61,"male",">50","primary","tonga","Christianity","yes","river_stream","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,1,1,1,1,1,0,1,NA,1,0.833333333333333,"Practices"
"100",42,"male","31-50","primary","nyanja","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,1,1,1,1,1,0,0,NA,1,0.75,"Practices"
"101",35,"female","31-50","none","tonga","Christianity","yes","lake","rainwater","yes","no","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,0,NA,0,0.583333333333333,"Practices"
"102",27,"male","18-30","primary","tumbuka","Christianity","yes","borehole_1","rainwater","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"103",20,"female","18-30","primary","tonga","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"104",51,"female",">50","primary","tonga","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,NA,1,0.833333333333333,"Practices"
"105",83,"female",">50","primary","tonga","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Always","no",1,1,0,1,1,1,1,0,NA,1,0.75,"Practices"
"106",59,"female",">50","primary","tonga","Christianity","yes","lake","borehole_1","yes","yes","in_rainy_season","Always","yes",1,1,1,1,1,1,0,0,NA,1,0.75,"Practices"
"107",52,"female",">50","primary","tonga","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Sometimes","no",1,0,0,1,1,1,1,0,1,1,0.75,"Practices"
"108",66,"male",">50","primary","tonga","Christianity","no","borehole_1","borehole_1","no",NA,"in_rainy_season in_summer",NA,NA,0,NA,NA,1,1,0,NA,1,NA,1,0.416666666666667,"Does Not Practice"
"109",30,"male","18-30","primary","chewa","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,1,0,1,0.75,"Practices"
"110",25,"female","18-30","primary","ngoni","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,0,1,0.666666666666667,"Practices"
"111",38,"female","31-50","primary","ngoni","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,1,0,1,0.5,"Does Not Practice"
"112",26,"female","18-30","primary","yao","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"113",50,"male","31-50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,0,1,0.75,"Practices"
"114",26,"female","18-30","primary","ngoni","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"115",18,"female","18-30","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","do_not_know","Always","yes",1,0,1,1,1,1,0,0,NA,1,0.583333333333333,"Practices"
"116",72,"female",">50","primary","lomwe","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Always","yes",1,1,0,1,1,1,0,1,NA,1,0.75,"Practices"
"117",35,"female","31-50","secondary","ngoni","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"118",33,"female","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,1,1,1,0.583333333333333,"Practices"
"119",35,"female","31-50","primary","ngoni","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Sometimes","yes",1,1,0,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"120",38,"female","31-50","primary","ngoni","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Sometimes","no",1,1,0,1,1,1,1,0,1,1,0.833333333333333,"Practices"
"121",28,"female","18-30","secondary","lomwe","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"122",50,"female","31-50","primary","lomwe","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,1,1,1,1,1,0,0,NA,1,0.75,"Practices"
"123",24,"female","18-30","secondary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"124",35,"female","31-50","secondary","nyanja","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Always","no",1,0,0,1,1,1,1,0,1,1,0.75,"Practices"
"125",67,"female",">50","primary","chewa","Christianity","yes","borehole_1","unprotected_well_1","yes","no","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,0,1,0.75,"Practices"
"126",52,"male",">50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"127",25,"female","18-30","secondary","lomwe","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,1,1,0.5,"Does Not Practice"
"128",26,"male","18-30","secondary","chewa","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"129",41,"male","31-50","primary","lomwe","Christianity","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"130",52,"female",">50","primary","ngoni","Christianity","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,1,1,0.833333333333333,"Practices"
"131",57,"female",">50","primary","ngoni","Christianity","yes","borehole_1","borehole_1","yes","no","in_rainy_season in_winter","Always","yes",1,1,1,1,1,1,0,0,1,1,0.833333333333333,"Practices"
"132",32,"female","31-50","secondary","ngoni","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"133",67,"female",">50","primary","lomwe","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"134",77,"female",">50","none","other_enthni","Christianity","no","piped_into_yard_plot","piped_into_yard_plot","yes","no","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,0,0.5,"Does Not Practice"
"135",61,"female",">50","primary","other_enthni","Christianity","yes","piped_into_dwelling","piped_into_dwelling","yes","no","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"136",21,"female","18-30","primary","nyanja","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,1,1,0.833333333333333,"Practices"
"137",20,"female","18-30","secondary","ngoni","Christianity","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
